,city,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,Santa Fe,-31.6333,-60.7,55.0,38,6,8.01,AR,1627498690
150,Dhārchula,29.85,80.5333,73.8,93,100,1.45,IN,1627498719
151,Pingliang,35.5392,106.6861,66.27,61,0,3.6,CN,1627498720
152,Tupik,54.4253,119.9327,58.37,98,100,2.64,RU,1627498720
153,Harper,4.375,-7.7169,76.84,76,100,7.49,LR,1627498721
154,Boz,46.4071,4.9109,74.01,79,63,3.56,FR,1627498722
155,Marsh Harbour,26.5412,-77.0636,84.92,69,10,3.4,BS,1627498722
156,Tazovsky,67.4667,78.7,46.24,92,9,9.66,RU,1627498723
157,Juazeiro,-9.4117,-40.4986,89.78,37,40,6.91,BR,1627498723
158,Kenai,60.5544,-151.2583,63.03,81,100,10.47,US,1627498724
159,Sisimiut,66.9395,-53.6735,51.21,73,52,10.85,GL,1627498724
160,Atuona,-9.8,-139.0333,77.59,72,17,20.24,PF,1627498725
161,College,64.8569,-147.8028,58.59,95,90,1.01,US,1627498621
162,Illapel,-31.6308,-71.1653,73.8,10,0,4.88,CL,1627498571
163,Provideniya,64.3833,-173.3,47.28,99,100,9.53,RU,1627498494
164,Saint-Raymond,45.467,-73.6095,77.18,43,40,3.44,CA,1627498726
165,Upernavik,72.7868,-56.1549,46.8,80,95,9.26,GL,1627498494
166,Mayumba,-3.432,10.6554,72.25,90,84,7.4,GA,1627498726
167,Caceres,39.522,-6.3748,93.79,18,0,5.7,ES,1627498727
168,Henties Bay,-22.116,14.2845,57.85,82,0,9.51,NA,1627498727
169,Bouaflé,6.9904,-5.7442,80.62,94,91,4.88,CI,1627498728
170,Green River,41.5286,-109.4662,92.19,35,8,1.99,US,1627498682
171,Joshīmath,30.5667,79.5667,72.59,87,100,0.83,IN,1627498729
172,Neuquén,-38.9516,-68.0591,55.29,33,0,5.75,AR,1627498698
173,Kapaa,22.0752,-159.319,82.38,78,61,12.3,US,1627498729
174,Teguise,29.0605,-13.564,71.82,69,20,18.41,ES,1627498730
175,Omboué,-1.5746,9.2618,74.97,80,42,7.09,GA,1627498522
176,Le Vauclin,14.5452,-60.8388,87.93,62,20,17.27,MQ,1627498731
